source_file,drive_link,context
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1Fhvdrkh81oR8IpFQwk8ZYClHJm9K-xc_/view?usp=drive_link","২। | প্রাথমিক গণিত"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1ffjwhG3lXIuUaANlD4dhMYNpANkGywk6/view?usp=drive_link","৩। | English for Today"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1qg06gxaGYyg9qAgGQnbK3MTKkNDlk_Jf/view?usp=drive_link","৪। | ইসলাম ও নৈতিক শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1t6lqJjSHdNwfshxXLwWDqgn0XTvH3Yn4/view?usp=drive_link","৫। | হিন্দুধর্ম ও নৈতিক শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1PzBzgA_vTYv7Q2J8TEVWxTzt0aEqeIMQ/view?usp=drive_link","৬। | প্রাথমিক বিজ্ঞান"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1yXHkDytdXD_U3stx50iizAd8925djNCI/view?usp=drive_link","৭। | বাংলাদেশ ও বিশ্বপরিচয়"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/17D7qJz4BaI095Lot1pd83q8FlvazXyR1/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1PLHQx9x42Fose7EoAU5FIkIVP44dQV6f/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1H3PMvh9vJpSb8C-uCfqzxSPO5hbmU7m_/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","https://drive.google.com/open?id=0B8L6VJQZe3EERThEbHk4UHZ6cnM",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1GP14235GBxuwwkq3S5MjtZ7JyJhn0Q_w/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1zfbEgfgK_yEZcLk24FDEASDGgHS3GimB/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/16uPy9Opak9H9b18gjfTJ1vvcW_qDkUyD/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/17D7qJz4BaI095Lot1pd83q8FlvazXyR1/view?usp=sharing","১। | আমার বাংলা বই"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1PLHQx9x42Fose7EoAU5FIkIVP44dQV6f/view?usp=sharing","২। | প্রাথমিক গণিত"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1H3PMvh9vJpSb8C-uCfqzxSPO5hbmU7m_/view?usp=sharing","৩। | English for Today"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","https://drive.google.com/open?id=0B8L6VJQZe3EERThEbHk4UHZ6cnM","৬। | ইসলাম ও নৈতিক শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1GP14235GBxuwwkq3S5MjtZ7JyJhn0Q_w/view?usp=sharing","৭। | হিন্দু ধর্ম ও নৈতিক শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের তৃতীয় শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1zfbEgfgK_yEZcLk24FDEASDGgHS3GimB/view?usp=sharing","৮। | খ্রিষ্টান ধর্ম ও নৈতিক শিক্ষা"
